Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.003886935007774892 * cos ( -0.005059683225621532 * y ^ 3 ) * 0.005102677500607626 * x ^ 1 - -0.007860794560865332 * x ^ 1 + 10,3.9810813004229324,NewAI,10,false,7.563669831413694,11.11422107097237,15560.0
0.003886935007774892 * cos ( -0.005059683225621532 * y ^ 3 ) * 0.005102677500607626 * x ^ 1 - -0.007860794560865332 * x ^ 1 + 10,3.9810813004229324,Random,10,false,1.8635666734733505E11,3.3520248019830103E12,3040.0
-0.002493770367358007 * y ^ 1 * 0.00759644374673609 * x ^ 1 + 0.004778878871454683 * tan ( -0.007278422948213904 * y ^ 1 ) + 10,19.922894240446617,BasicAI,3,true,4.8942421392400774,0.0050867021768886515,7066.666666666667
-0.002493770367358007 * y ^ 1 * 0.00759644374673609 * x ^ 1 + 0.004778878871454683 * tan ( -0.007278422948213904 * y ^ 1 ) + 10,19.922894240446617,NewAI,3,true,1.441018113623287,0.002909931592673872,13133.333333333334
-0.002493770367358007 * y ^ 1 * 0.00759644374673609 * x ^ 1 + 0.004778878871454683 * tan ( -0.007278422948213904 * y ^ 1 ) + 10,19.922894240446617,Random,10,false,19.922894240446617,19.922894240446617,1810.0
0.0016366961321382534 * x ^ 6 * 0.006016095099866821 * atan ( -0.004012757298133675 * y ^ 5 ) * 7.717854555871018E-4 * x ^ 2 + 10,16.29170802905135,BasicAI,10,false,16.29170802905135,16.29170802905135,5330.0
0.0016366961321382534 * x ^ 6 * 0.006016095099866821 * atan ( -0.004012757298133675 * y ^ 5 ) * 7.717854555871018E-4 * x ^ 2 + 10,16.29170802905135,NewAI,10,false,7.89251006135003,7.89251006135003,12420.0
0.0016366961321382534 * x ^ 6 * 0.006016095099866821 * atan ( -0.004012757298133675 * y ^ 5 ) * 7.717854555871018E-4 * x ^ 2 + 10,16.29170802905135,Random,10,false,16.29170802905135,16.29170802905135,590.0
0.008306892355257507 * log ( -0.005476301564441266 * x ^ 1 ) * -0.008399671231929763 * y ^ 4 + 10,10.273939721091994,BasicAI,10,false,5.703188762698606,5.471258188708228,7550.0
0.008306892355257507 * log ( -0.005476301564441266 * x ^ 1 ) * -0.008399671231929763 * y ^ 4 + 10,10.273939721091994,NewAI,10,false,32.07697948742901,107.25370677779053,9030.0
